player_name,team,age,cap_hit,years_remaining
Demetrios Koumontzis,CGY,26,,
Hunter Laing,CGY,19,,
Cade Littler,CGY,21,,
Henry Mews,CGY,20,,
Luke Misa,CGY,20,,
Yegor Yegorov,CGY,20,,
Kirill Zarubin,CGY,20,,
Cole Reschny,CGY,19,,
Cullen Potter,CGY,19,,
Theo Stockselius,CGY,18,,
Maceo Phillips,CGY,19,,
Ethan Wyttenbach,CGY,19,,
Aidan Lane,CGY,19,,
Jakob Leander,CGY,19,,
Yan Matveiko,CGY,19,,
Abram Wiebe,CGY,22,,
Maxmilian Curran,CGY,19,,
Sebastian Aho,CAR,28,9750000,7
Nikolaj Ehlers,CAR,30,8500000,6
Andrei Svechnikov,CAR,26,7750000,4
Seth Jarvis,CAR,24,7420087,7
Jesperi Kotkaniemi,CAR,25,4820000,5
Taylor Hall,CAR,34,3166667,3
Jordan Martinook,CAR,33,3050000,2
Jordan Staal,CAR,37,2900000,2
William Carrier,CAR,31,2000000,5
Nicolas Deslauriers,CAR,35,1750000,1
Eric Robinson,CAR,30,1700000,4
Jackson Blake,CAR,22,905833,1
Bradly Nadeau,CAR,20,886667,3
Logan Stankoven,CAR,23,814167,1
Mark Jankowski,CAR,31,800000,1
Skyler Brind'Amour,CAR,26,775000,1
Josiah Slavin,CAR,27,775000,1
K'Andre Miller,CAR,26,7500000,8
Jaccob Slavin,CAR,31,6395955,8
Sean Walker,CAR,31,3600000,4
Shayne Gostisbehere,CAR,32,3200000,2
Jalen Chatfield,CAR,29,3000000,2
Mike Reilly,CAR,32,1100000,1
Alexander Nikishin,CAR,24,925000,1
Charles-Alexis Legault,CAR,22,915833,2
Frederik Andersen,CAR,36,2750000,1
Pyotr Kochetkov,CAR,26,2000000,2
Brandon Bussi,CAR,27,775000,1
Ivan Ryabkin,CAR,18,918333,3
Viktor Neuchev,CAR,22,870000,1
Gleb Trikozov,CAR,21,862500,2
Justin Robidas,CAR,23,825000,1
Noel Gunler,CAR,24,813750,1
Felix Unger Sorum,CAR,20,803333,3
Ryan Suzuki,CAR,24,775000,1
Givani Smith,CAR,28,775000,1
Juha Jaaska,CAR,28,775000,2
Noah Philp,CAR,27,775000,1
Joel Nystrom,CAR,23,925000,1
Kyle Masters,CAR,22,865000,1
Bryce Montgomery,CAR,23,854910,2
Juuso Valimaki,CAR,27,2000000,1
Dominik Badinka,CAR,20,838283,3
Ronan Seeley,CAR,23,813750,1
Aleksi Heimosalmi,CAR,22,805833,1
Domenick Fensore,CAR,24,775000,1
Ruslan Khazheev,CAR,21,845000,2
Nikita Quapp,CAR,23,775000,1
Amir Miftakhov,CAR,25,775000,1
Cayden Primeau,CAR,26,775000,1
Nikita Artamonov,CAR,20,,
Fyodor Avramov,CAR,20,,
Michael Emerson,CAR,22,,
Simon Forsmark,CAR,22,,
Noel Fransen,CAR,20,,
Vladimir Grudinin,CAR,22,,
Nils Juntorp,CAR,22,,
Nikita Guslistov,CAR,23,,
Timur Kol,CAR,19,,
Andrey Krutov,CAR,19,,
Jacob Kucharski,CAR,26,,
Timur Mukhanov,CAR,20,,
Yegor Naumov,CAR,22,,
Alexander Pelevin,CAR,21,,
Alexander Perevalov,CAR,21,,
Jayden Perron,CAR,21,,
Justin Poirier,CAR,19,,
Alexander Rykov,CAR,20,,
Roman Shokhrin,CAR,20,,
Alexander Siryatsky,CAR,19,,
Yegor Velmakin,CAR,23,,
Jakub Vondras,CAR,21,,
Oskar Vuollet,CAR,20,,
Stanislav Yarovoi,CAR,22,,
Semyon Frolov,CAR,19,,
Charlie Cerrato,CAR,21,,
Kurban Limatov,CAR,19,,
Roman Bausov,CAR,18,,
Viggo Nordlund,CAR,19,,
Filip Ekberg,CAR,18,,
Tyler Bertuzzi,CHI,31,5500000,3
Andre Burakovsky,CHI,31,5500000,2
Teuvo Teravainen,CHI,31,5400000,2
Ilya Mikheyev,CHI,31,4037500,1
Ryan Donato,CHI,29,4000000,4
Andrew Mangiapane,CHI,30,3600000,2
